file, real_x, real_y, real_z, detected_x, detected_y, detected_z
65.jpg,300,-200,27,8.942537934130954,-138.79181191925935,559.6225459859598
68.jpg,300,-200,27,7.650275797321139,-141.35035805644384,573.8173889424205
110.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
111.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
112.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
113.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
114.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
115.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
116.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
117.jpg,100,-100,27,195.70897908099144,-81.99361804423985,445.55006442311515
118.jpg,100,-100,27,186.7596583602043,-77.27178032014258,421.4185054397652
119.jpg,100,-100,27,186.7596583602043,-77.27178032014258,421.4185054397652
120.jpg,200,-100,27,103.72074376698343,-86.4503999927738,508.2461477341197
123.jpg,200,-100,27,104.51871352648935,-87.08086191477196,514.1375812114877
124.jpg,200,-100,27,103.83725254536708,-86.78187544680007,510.75155879872676
125.jpg,200,-100,27,103.83725254536708,-86.78187544680007,510.75155879872676
126.jpg,200,-100,27,101.24038053291738,-84.61325676837396,497.4279482745161
127.jpg,200,-100,27,101.24038053291738,-84.61325676837396,497.4279482745161
128.jpg,200,-100,27,104.51871352648935,-87.08086191477196,514.1375812114877
129.jpg,200,-100,27,104.51871352648935,-87.08086191477196,514.1375812114877
135.jpg,300,-100,27,0.8610237782030471,-86.74398987920532,522.6620986607313
196.jpg,200,0,27,103.06861562420453,-20.887599845757734,402.84206356784
197.jpg,200,0,27,103.06861562420453,-20.887599845757734,402.84206356784
199.jpg,200,0,27,99.70053932970505,-20.235082301990104,399.39528596222704
200.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
201.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
202.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
203.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
204.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
205.jpg,300,0,27,8.769615104879364,-23.68357040427683,459.3755810474358
206.jpg,300,0,27,8.769615104879364,-23.68357040427683,459.3755810474358
207.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
208.jpg,300,0,27,8.323660603942635,-23.095162309887186,448.0798524875428
209.jpg,300,0,27,7.432672856259982,-22.516864907186903,450.7582736859196
260.jpg,200,100,27,113.01969012854256,45.06658639064357,328.53819439097344
261.jpg,200,100,27,108.0089639164037,43.305202780488,314.4696482672592
262.jpg,200,100,27,110.5691636145026,44.62163474066629,321.33061746096575
263.jpg,200,100,27,110.5691636145026,44.62163474066629,321.33061746096575
264.jpg,200,100,27,110.5691636145026,44.62163474066629,321.33061746096575
265.jpg,200,100,27,110.5691636145026,44.62163474066629,321.33061746096575
266.jpg,200,100,27,110.5691636145026,44.62163474066629,321.33061746096575
267.jpg,200,100,27,110.5691636145026,44.62163474066629,321.33061746096575
268.jpg,200,100,27,110.49781629365687,44.92103080559548,322.23763405417895
269.jpg,200,100,27,108.14406149522193,44.8231126091483,316.3986967197424
270.jpg,300,100,27,13.65919970459553,43.62341272969774,340.89574547478804
271.jpg,300,100,27,13.691840105589009,43.000484375766206,337.39892395997396
272.jpg,300,100,27,13.765452270637942,43.40749256826645,339.16941050074865
273.jpg,300,100,27,13.765452270637942,43.40749256826645,339.16941050074865
274.jpg,300,100,27,13.65919970459553,43.62341272969774,340.89574547478804
275.jpg,300,100,27,13.765452270637942,43.40749256826645,339.16941050074865
276.jpg,300,100,27,13.249798579413715,43.82303637889499,339.56612137542845
277.jpg,300,100,27,13.249798579413715,43.82303637889499,339.56612137542845
