real_x, real_y, real_z, detected_x, detected_y, detected_z
0,0,28,-1.3069937674566798,22.152511147866125,494.525378850664
50,0,28,-54.98033095525444,21.106923388088926,511.2405070268468
100,0,28,-102.65838772328411,19.560243187258074,479.3609651056338
150,0,28,-152.19591978625812,17.821906061072752,454.98421793584515
200,0,28,-185.55835107395984,15.680767209966866,399.4682524123486
250,0,28,-226.1217926894871,13.771798398722845,362.97323741899277
300,0,28,-312.12175532201786,15.134595434243542,389.9410603622821
150,50,28,-140.19258807769523,39.31590687023614,382.1828313310226
100,50,28,-94.96595640605479,42.655191202867,417.43983251078475
50,50,28,-48.42588352186093,46.36463492071107,442.3312609326418
50,100,28,-42.36323890004328,70.83325627787579,389.2529068539952
50,150,28,-43.001652474155776,95.98037601011255,335.5079831842141
0,0,100,6.0352728982277,-46.6791554662056,470.37484277588885
0,50,100,-43.259928523070016,-45.43137842016596,453.8533084688452
0,100,100,-89.09272504901591,-48.87999412948611,454.2111070231574
150,0,100,-143.53246311381804,-45.29347317115776,410.41921669576243
200,0,100,-185.56257231686482,-47.594591015367236,390.97346984545993
200,0,100,-171.75058965946624,-38.83670622275588,338.0453849861282
250,0,100,-197.915739144443,-40.65588361031908,308.2100965257644
250,0,100,-222.13156308146714,-43.16330706297763,320.2112171924053
300,0,100,-297.2610846624667,-54.15063017154232,360.50888396737014
0,50,100,6.018542481591312,-19.37926545862071,404.90956468320985
50,50,100,-46.12788558270143,-20.318570338056578,394.3267621363741
50,50,100,-64.56280101076091,-25.802433487045366,401.1758844781843
100,50,100,-82.47003862705489,-22.060671987082614,385.30709092090393
100,50,100,-95.69516119478997,-18.264707408602437,364.28803831521884
150,50,100,-131.75414377332186,-22.83844080616256,355.5296762154128
150,50,100,-137.28103624102164,-19.976830215370228,326.2415678619297
200,50,100,-170.38220543428474,-27.74815358982397,334.57949200402066
250,50,100,-164.95821703786046,-21.721067707677868,282.3587787146918
250,50,100,-209.74970292459986,-26.06419499463496,289.0837673903945
250,50,100,-244.96143765329185,-24.091789524184453,302.8962572660916
0,100,100,29.082730557952853,-2.3324736037575113,353.80427288796903
0,100,100,11.37590930833056,2.8745256981414498,350.98883211831065
0,100,100,-6.0112517392304925,-1.0340997885205117,356.36149532902937
50,100,100,-23.23307354155725,1.3698246880686364,345.4239535112105
50,100,100,-36.48621617209386,2.0706890054039433,333.0745989556916
100,100,100,-85.13649260987447,1.4986369613476307,311.128589683142
150,100,100,-123.04366458438948,-2.16955277217454,296.0414224328029
150,100,100,-127.84063920517862,0.3789839987250536,259.4865753110785
200,100,100,-159.54350444238443,-5.979171226234363,271.6425351183762
200,100,100,-170.93370074636746,-2.8689701652156847,238.91191234727066
250,100,100,-221.03035456844725,-7.28705754008761,267.3454909210503
0,150,100,19.389957463767285,30.222794114388634,294.33295298752097
0,150,100,-1.5369477188492162,20.984991352532393,297.52571983564906
50,150,100,-38.07998374969038,22.999782867156476,292.38469217840947
